game_id,home_team,away_team,away_target,home_target,spread_line,total_line,away_score,home_score,spread,total,predicted,season,week
2021_02_DAL_LAC,LAC,DAL,26.0,29.0,3.0,55.0,20.0,17.0,-3.0,37.0,-0.44869828,2021,02
2021_02_DEN_JAX,JAX,DEN,25.5,19.5,-6.0,45.0,23.0,13.0,-10.0,36.0,-5.2514095,2021,02
2021_02_DET_GB,GB,DET,19.0,30.5,11.5,49.5,17.0,35.0,18.0,52.0,9.130045,2021,02
2021_02_HOU_CLE,CLE,HOU,17.5,31.0,13.5,48.5,21.0,31.0,10.0,52.0,0.87719893,2021,02
2021_02_KC_BAL,BAL,KC,28.5,25.0,-3.5,53.5,35.0,36.0,1.0,71.0,1.8136487,2021,02
2021_02_LA_IND,IND,LA,26.0,22.0,-4.0,48.0,27.0,24.0,-3.0,51.0,1.8661878,2021,02
2021_02_LV_PIT,PIT,LV,20.5,26.0,5.5,46.5,26.0,17.0,-9.0,43.0,3.6301336,2021,02
2021_02_MIN_ARI,ARI,MIN,23.5,27.5,4.0,51.0,33.0,34.0,1.0,67.0,4.538273,2021,02
2021_02_NE_NYJ,NYJ,NE,24.25,18.75,-5.5,43.0,25.0,6.0,-19.0,31.0,-6.167204,2021,02
2021_02_NO_CAR,CAR,NO,24.0,21.0,-3.0,45.0,7.0,26.0,19.0,33.0,-7.009286,2021,02
2021_02_NYG_WAS,WAS,NYG,19.0,23.0,4.0,42.0,29.0,30.0,1.0,59.0,1.039407,2021,02
2021_02_SF_PHI,PHI,SF,26.0,23.0,-3.0,49.0,17.0,11.0,-6.0,28.0,-2.6560497,2021,02
2021_02_TEN_SEA,SEA,TEN,23.5,30.0,6.5,53.5,33.0,30.0,-3.0,63.0,3.8208244,2021,02
2021_03_ARI_JAX,JAX,ARI,29.75,21.75,-8.0,51.5,31.0,19.0,-12.0,50.0,-10.099481,2021,03
2021_03_ATL_NYG,NYG,ATL,22.5,25.5,3.0,48.0,17.0,14.0,-3.0,31.0,-1.0182362,2021,03
2021_03_BAL_DET,DET,BAL,29.25,21.75,-7.5,51.0,19.0,17.0,-2.0,36.0,-4.5444584,2021,03
2021_03_CAR_HOU,HOU,CAR,25.5,17.5,-8.0,43.0,24.0,9.0,-15.0,33.0,0.9265504,2021,03
2021_03_CHI_CLE,CLE,CHI,18.75,26.25,7.5,45.0,6.0,26.0,20.0,32.0,-0.06695223,2021,03
2021_03_CIN_PIT,PIT,CIN,20.0,22.5,2.5,42.5,24.0,10.0,-14.0,34.0,6.4740744,2021,03
2021_03_GB_SF,SF,GB,23.5,27.0,3.5,50.5,30.0,28.0,-2.0,58.0,-6.5286837,2021,03
2021_03_IND_TEN,TEN,IND,21.25,25.75,4.5,47.0,16.0,25.0,9.0,41.0,-1.4756932,2021,03
2021_03_LAC_KC,KC,LAC,24.25,30.75,6.5,55.0,30.0,24.0,-6.0,54.0,6.207778,2021,03
2021_03_MIA_LV,LV,MIA,20.5,24.5,4.0,45.0,28.0,31.0,3.0,59.0,4.1741934,2021,03
2021_03_NO_NE,NE,NO,20.5,23.5,3.0,44.0,28.0,13.0,-15.0,41.0,-5.3001604,2021,03
2021_03_NYJ_DEN,DEN,NYJ,15.75,26.25,10.5,42.0,0.0,26.0,26.0,26.0,6.427481,2021,03
2021_03_PHI_DAL,DAL,PHI,24.0,27.5,3.5,51.5,21.0,41.0,20.0,62.0,6.057931,2021,03
2021_03_SEA_MIN,MIN,SEA,27.75,25.75,-2.0,53.5,17.0,30.0,13.0,47.0,-6.255083,2021,03
2021_03_TB_LA,LA,TB,28.0,27.0,-1.0,55.0,24.0,34.0,10.0,58.0,-0.73871017,2021,03
2021_03_WAS_BUF,BUF,WAS,19.0,26.5,7.5,45.5,21.0,43.0,22.0,64.0,10.3978195,2021,03
2021_04_ARI_LA,LA,ARI,25.0,28.5,3.5,53.5,37.0,20.0,-17.0,57.0,6.7663236,2021,04
2021_04_BAL_DEN,DEN,BAL,21.5,22.5,1.0,44.0,23.0,7.0,-16.0,30.0,-5.808528,2021,04
2021_04_CAR_DAL,DAL,CAR,23.5,28.0,4.5,51.5,28.0,36.0,8.0,64.0,5.7194495,2021,04
2021_04_CLE_MIN,MIN,CLE,26.5,25.5,-1.0,52.0,14.0,7.0,-7.0,21.0,-7.8100796,2021,04
2021_04_DET_CHI,CHI,DET,19.5,22.5,3.0,42.0,14.0,24.0,10.0,38.0,8.417523,2021,04
2021_04_HOU_BUF,BUF,HOU,14.25,33.25,19.0,47.5,0.0,40.0,40.0,40.0,12.046178,2021,04
2021_04_IND_MIA,MIA,IND,19.5,22.0,2.5,41.5,27.0,17.0,-10.0,44.0,-3.616055,2021,04
2021_04_JAX_CIN,CIN,JAX,19.25,26.75,7.5,46.0,21.0,24.0,3.0,45.0,4.9937377,2021,04
2021_04_KC_PHI,PHI,KC,30.5,23.0,-7.5,53.5,42.0,30.0,-12.0,72.0,-6.120577,2021,04
2021_04_LV_LAC,LAC,LV,24.5,27.5,3.0,52.0,14.0,28.0,14.0,42.0,-0.3509214,2021,04
2021_04_NYG_NO,NO,NYG,17.75,25.25,7.5,43.0,27.0,21.0,-6.0,48.0,11.350392,2021,04
2021_04_PIT_GB,GB,PIT,19.25,25.75,6.5,45.0,17.0,27.0,10.0,44.0,8.279138,2021,04
2021_04_SEA_SF,SF,SEA,24.75,27.25,2.5,52.0,28.0,21.0,-7.0,49.0,-5.3970537,2021,04
2021_04_TB_NE,NE,TB,27.75,21.75,-6.0,49.5,19.0,17.0,-2.0,36.0,-4.9140515,2021,04
2021_04_TEN_NYJ,NYJ,TEN,25.0,19.5,-5.5,44.5,24.0,27.0,3.0,51.0,-7.4106464,2021,04
2021_04_WAS_ATL,ATL,WAS,24.25,23.25,-1.0,47.5,34.0,30.0,-4.0,64.0,-1.5611191,2021,04
2021_05_BUF_KC,KC,BUF,27.25,29.75,2.5,57.0,38.0,20.0,-18.0,58.0,-4.0263643,2021,05
2021_05_CHI_LV,LV,CHI,20.25,25.75,5.5,46.0,20.0,9.0,-11.0,29.0,4.341298,2021,05
2021_05_CLE_LAC,LAC,CLE,22.0,24.5,2.5,46.5,42.0,47.0,5.0,89.0,-5.076583,2021,05
2021_05_DEN_PIT,PIT,DEN,21.0,19.0,-2.0,40.0,19.0,27.0,8.0,46.0,2.8944948,2021,05
2021_05_DET_MIN,MIN,DET,19.75,29.75,10.0,49.5,17.0,19.0,2.0,36.0,2.759092,2021,05
2021_05_GB_CIN,CIN,GB,26.0,24.0,-2.0,50.0,25.0,22.0,-3.0,47.0,-10.87285,2021,05
2021_05_IND_BAL,BAL,IND,19.5,27.0,7.5,46.5,25.0,31.0,6.0,56.0,1.6076088,2021,05
2021_05_LA_SEA,SEA,LA,28.0,25.5,-2.5,53.5,26.0,17.0,-9.0,43.0,-2.1395082,2021,05
2021_05_MIA_TB,TB,MIA,18.5,29.5,11.0,48.0,17.0,45.0,28.0,62.0,14.172036,2021,05
2021_05_NE_HOU,HOU,NE,23.75,15.75,-8.0,39.5,25.0,22.0,-3.0,47.0,-1.8629136,2021,05
2021_05_NO_WAS,WAS,NO,23.0,20.5,-2.5,43.5,33.0,22.0,-11.0,55.0,-9.341662,2021,05
2021_05_NYG_DAL,DAL,NYG,22.75,30.25,7.5,53.0,20.0,44.0,24.0,64.0,4.4695873,2021,05
